idna_subject,checker_type,destination,source,tested_at,session_id
0026645142c89aeb1.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:47.294973,6ea1992227f656ca57e826fa
006a039c957c142bb.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:47.865119,6ea1992227f656ca57e826fa
00aaa2d81c1d174.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:48.199236,6ea1992227f656ca57e826fa
00ae8b5a9c1d597.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:48.450395,6ea1992227f656ca57e826fa
012469af389a1d1246d.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:48.683998,6ea1992227f656ca57e826fa
017e689c749.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:48.928299,6ea1992227f656ca57e826fa
01jud3v55z.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:49.420812,6ea1992227f656ca57e826fa
02aa19117f396e9.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:49.648130,6ea1992227f656ca57e826fa
02b5da94a2bd4aea.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:49.886996,6ea1992227f656ca57e826fa
039ad0897e6da.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:50.198838,6ea1992227f656ca57e826fa
059e025e7484.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:50.434116,6ea1992227f656ca57e826fa
05ee3a24ed11df058c8.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:52.407695,6ea1992227f656ca57e826fa
05f4e2756f290.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:52.635994,6ea1992227f656ca57e826fa
06f09b1008ae993a5a.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:52.934627,6ea1992227f656ca57e826fa
0926a687679d337e9d.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:53.950969,6ea1992227f656ca57e826fa
0956228a2df97a.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:54.275719,6ea1992227f656ca57e826fa
0azx1.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:54.788727,6ea1992227f656ca57e826fa
0b9d84d93f1b.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:55.016396,6ea1992227f656ca57e826fa
0byv9mgbn0.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:55.478152,6ea1992227f656ca57e826fa
0c8a10b46fc6.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:56.181183,6ea1992227f656ca57e826fa
0d847862199.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:56.909925,6ea1992227f656ca57e826fa
0dbcf515975d.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:58.342397,6ea1992227f656ca57e826fa
0e6fc55ed3d4c2c2ba0.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:58.613398,6ea1992227f656ca57e826fa
0eijh8996i.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:40:59.062775,6ea1992227f656ca57e826fa
0f461325bf56c3e1b9.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:41:00.075953,6ea1992227f656ca57e826fa
0ff42a1771d8.com,AVAILABILITY,domains.list,domains.list,2021-09-16 05:41:00.335450,6ea1992227f656ca57e826fa
0gw7e6s3wrao9y3q.pro,AVAILABILITY,domains.list,domains.list,2021-09-16 05:41:01.156852,6ea1992227f656ca57e826fa
